10 Things I Hate About You,"Comedy, Drama, Romance",7.2,70,6.1,62,38,24,69,3.3
12,"Crime, Drama, Thriller",7.8,72,6.8,58,44,14,84,3.5
12 and Holding,Drama,7.6,65,6.7,77,56,21,79,3.3
12 Monkeys,"Adventure, Drama, Mystery",7.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 Years a Slave,"Biography, Drama, History",8.1,97,9.0,300,287,13,90,4.3
127 Hours,"Adventure, Biography, Drama",7.6,82,8.3,217,202,15,85,4.0
1492: Conquest of Paradise,"Adventure, Biography, Drama",6.5,N/A,4.0,18,7,11,51,3.1
15 Minutes,"Action, Crime, Drama",6.1,34,4.4,123,40,83,38,2.9
17 Again,"Comedy, Drama, Fantasy",6.4,48,5.4,142,78,64,67,3.6
187,Drama,5.6,N/A,N/A,N/A,N/A,N/A,81,3.9
2001: A Space Odyssey,"Mystery, Sci-Fi",8.3,86,9.1,78,73,5,89,3.8
2012,"Action, Adventure, Sci-Fi",5.8,49,5.0,238,94,144,47,3.2
25th Hour,Drama,7.7,67,7.2,166,129,37,85,3.7
30 Minutes or Less,"Action, Comedy, Crime",6.1,49,5.4,159,70,89,40,3.1
42,"Biography, Drama, Sport",7.5,62,6.8,178,140,38,86,4.1
44 Inch Chest,"Crime, Drama",5.8,47,5.2,81,33,48,36,2.8
48 Hrs.,"Action, Comedy, Crime",6.9,71,7.3,39,36,3,69,3.2
50-50,"Short, Crime, Drama",6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
500 Days of Summer,"Comedy, Drama, Romance",7.8,76,7.6,214,183,31,84,3.8
8 Mile,"Drama, Music",7.0,77,6.8,206,157,49,54,3.1
8MM,"Mystery, Thriller",6.5,19,4.2,78,17,61,52,3.0
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Few Good Men,"Drama, Thriller",7.6,62,7.0,57,46,11,89,3.6
A Serious Man,"Comedy, Drama",7.0,79,7.9,209,187,22,67,3.5
A.I.,"Adventure, Drama, Sci-Fi",7.1,65,6.6,190,139,51,64,3.1
Above the Law,"Action, Crime, Mystery",5.9,N/A,5.1,16,8,8,49,2.8
Absolute Power,"Action, Crime, Drama",6.7,52,5.5,42,19,23,52,3.2
"Abyss, The","Adventure, Drama, Sci-Fi",7.6,62,7.2,44,39,5,83,3.5
Ace Ventura: Pet Detective,Comedy,6.9,37,4.5,51,23,28,57,3.1
Adaptation,"Documentary, Short",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Addams Family, The","Comedy, Fantasy",6.8,N/A,5.6,40,24,16,66,3.2
"Adjustment Bureau, The","Romance, Sci-Fi, Thriller",7.1,60,6.6,247,178,69,67,3.5
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Affliction,"Drama, Mystery, Thriller",7.0,79,7.7,47,41,6,72,3.5
After School Special,Comedy,4.9,N/A,N/A,N/A,N/A,N/A,26,2.8
After.Life,"Drama, Horror, Mystery",5.9,36,4.5,54,14,40,32,2.8
Agnes of God,"Drama, Mystery",6.6,N/A,5.5,28,13,15,55,3.2
Air Force One,"Action, Adventure, Drama",6.4,61,7.0,54,42,12,66,3.2
Airplane,Comedy,7.8,N/A,8.4,58,56,2,89,3.6
Airplane 2: The Sequel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aladdin,"Animation, Adventure, Comedy",8.0,N/A,8.1,68,64,4,92,3.7
Ali,"Biography, Drama, Sport",6.8,65,6.3,149,100,49,65,3.3
Alien,"Horror, Sci-Fi",8.5,83,9.0,100,97,3,94,3.9
Alien 3,Documentary,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alien Nation,"Action, Crime, Sci-Fi",6.3,45,5.4,26,14,12,44,3.0
Alien vs. Predator,"Action, Adventure, Sci-Fi",6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alien: Resurrection,"Action, Horror, Sci-Fi",6.3,63,5.8,71,38,33,40,3.0
Aliens,"Action, Horror, Sci-Fi",8.4,87,9.0,62,61,1,94,3.8
All About Eve,Drama,8.3,N/A,9.1,63,63,0,94,4.3
All About Steve,"Comedy, Romance",4.8,17,2.6,135,9,126,30,2.8
All the King's Men,"Drama, Thriller",6.2,37,N/A,N/A,N/A,N/A,N/A,N/A
All the President's Men,"Biography, Drama, History",8.0,N/A,9.1,54,50,4,92,3.9
Almost Famous,"Adventure, Comedy, Drama",7.9,90,7.9,165,146,19,92,3.7
Alone in the Dark,"Horror, Sci-Fi",2.3,9,1.7,117,1,116,10,2.0
