name	screenplay_quality	Action	Active/Passive11	Active/Passive222	Active/Passive3	Active/Passive44	Adventure	Animation	Causal1	Causal2	Causal3	Causal4	Comedy	Crime	Drama	Family	Fantasy	Female/MALE1	Female/MALE2	Female/MALE3	Female/MALE4	Film-Noir	Horror	Increas/Decreas1	Increas/Decreas2	Increas/Decreas3	Increas/Decreas4	Musical	Mystery	Object11	Object22	Object33	Object44	Our1	Our2	Our3	Our4	Ovrst/Undrst1	Ovrst/Undrst2	Ovrst/Undrst3	Ovrst/Undrst4	POLIT1	POLIT22	POLIT33	POLIT44	Pleasur/Pain1	Pleasur/Pain2	Pleasur/Pain3	Pleasur/Pain4	Positiv/Negativ1	Positiv/Negativ2	Positiv/Negativ3	Positiv/Negativ4	PowGain/PowLoss1	PowGain/PowLoss2	PowGain/PowLoss3	PowGain/PowLoss4	Power/Weak1	Power/Weak2	Power/Weak3	Power/Weak4	Relig1	Relig2	Relig3	Relig4	Romance	Sci-Fi	Self1111	Self222	Self333	Self444	Short	SocRel111	SocRel22	SocRel333	SocRel4	Thriller	Virtue/Vice111	Virtue/Vice22	Virtue/Vice333	Virtue/Vice44	War	You11	You2222	You33	You44	action_len_mean11	action_len_mean2	action_len_mean33	action_len_mean44	action_len_std1	action_len_std2	action_len_std3	action_len_std4	automated_readability_index111	automated_readability_index22	automated_readability_index333	automated_readability_index444444	dialogue_len_mean1	dialogue_len_mean2	dialogue_len_mean3	dialogue_len_mean4	dialogue_len_std1	dialogue_len_std2	dialogue_len_std3	dialogue_len_std4	dialogue_to_action11	dialogue_to_action22	dialogue_to_action333	dialogue_to_action44	flesch_kincaid_grade1	flesch_kincaid_grade2	flesch_kincaid_grade3	flesch_kincaid_grade4	flesch_reading_ease1	flesch_reading_ease2	flesch_reading_ease3	flesch_reading_ease4	lexical_diversity1	lexical_diversity2	lexical_diversity3	lexical_diversity4	num_scenes	proportion_os11	proportion_os22	proportion_os33	proportion_os44	proportion_vo1	proportion_vo2	proportion_vo3	proportion_vo4	senti_score1	senti_score2	senti_score3	senti_score4
12 Years a Slave	1	0.0	2.5644002817697377e-13	-2.4158680375292504e-52	6.4667638864788986e-53	-8.8369047303355701e-44	0.0	0.0	1.9268407713130172e-196	2.6276931503882065e-130	7.5189887884295361e-148	8.8369047303355701e-44	0.0	0.0	1.0	0.0	0.0	6.8068783910974579e-47	-5.6508283135834596e-198	-5.2363796325998604e-200	-4.8800211761420819e-199	0.0	0.0	1.1796699002225753e-239	1.9794999275534323e-175	6.8607181337252526e-177	0.0	0.0	0.0	1.0350858219291478e-21	1.5312464773637836e-119	6.4667638864788986e-53	3.8080343855655385e-90	0.0	0.0	0.0	0.0	-6.5169003348659152e-17	-5.9127968381979427e-40	-8.7447993193169304e-17	-4.4585483336853155e-08	3.4976234730677368e-202	1.5312464773637836e-119	5.5931123968293032e-153	0.0	6.3195073377806229e-282	0.0	0.0	0.0	5.4950105600195182e-55	-3.8849897792215407e-80	-3.5363994800501188e-125	6.9044706634320574e-298	5.434722104253712e-323	1.7358209977613969e-302	2.4187450502937763e-253	2.8308418398999492e-266	-3.8716214114408197e-122	2.7669897699158407e-60	6.4667638864788986e-53	-1.8116815659022006e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5644002817697377e-13	2.7669897699158407e-60	6.4667638864788986e-53	2.8308418398999492e-266	0.0	-4.4763045198353676e-72	-6.6846822218724164e-112	2.7043382636250379e-157	6.9044706634320574e-298	0.0	2.3763576010069375e-105	0.0	9.8904646484031262e-85	1.9516832134076447e-59	16.203488372093023	12.684210526315789	12.0	10.718518518518518	27.485289713262215	27.511137436015762	24.894582939673036	26.688227908880041	6.7000000000000002	6.5999999999999996	6.5999999999999996	7.0	19.746268656716417	29.273631840796021	20.829694323144103	21.664031620553359	21.876639634527237	36.558135413600965	27.092785587881664	23.522123358730777	1.1686046511627908	1.5112781954887218	1.4870129870129871	1.874074074074074	5.5999999999999996	4.4000000000000004	4.4000000000000004	4.4000000000000004	76.219999999999999	84.680000000000007	84.680000000000007	84.680000000000007	95.658088793561092	91.637153954611222	93.98069333609071	95.387213615859125	154.0	0.0049751243781094526	0.0	0.0087336244541484712	0.0	0.0	0.0049751243781094526	0.0	0.0	-0.0032480940279542565	-0.0015384203767123288	-0.0045812784063436803	-0.0040838717542362553
127 Hours	1	0.0	3.5949227465924738e-50	2.0162387741805263e-21	2.4608849634714308e-17	1.0829255539973859e-38	1.0	0.0	1.7240279938221977e-79	8.7093277543771588e-92	7.169512376224125e-232	1.0829255500360403e-38	0.0	0.0	1.0	0.0	0.0	-7.5327252064704218e-310	-9.2827251415064572e-297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1127215636371537e-270	0.0	0.0	4.9406564584124654e-324	2.9019802095432901e-195	3.0041961251096019e-42	2.1127215675013259e-270	6.4474880593757243e-286	3.4534941260460252e-261	1.6304614639831121e-307	7.3610990173945329e-169	1.8740225797247017e-21	7.2595281306715069e-05	-1.7332494934881095e-20	6.048143043038411e-05	1.8740225797247017e-21	1.6392903518032879e-62	1.220778772556582e-25	3.9613456049651061e-47	0.0	0.0	0.0	5.1706443815644074e-296	5.0249830151924775e-46	2.7771672875562564e-17	-4.9607307807287894e-09	9.7895424944940897e-26	-3.9488961110676905e-62	-2.0162387741805263e-21	-2.4608849634714308e-17	3.5682707698370112e-241	-3.9488961110676905e-62	-8.6391828843951797e-71	-4.9607307561199395e-09	1.0829255500360403e-38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9488961110676905e-62	2.0162387741805263e-21	2.4608849634714308e-17	1.0829255500360403e-38	0.0	2.7989687148865262e-224	5.8510850203857093e-216	1.9096671305138612e-129	1.0829255500360403e-38	0.0	1.6926570865673918e-116	1.8508591806136963e-120	1.8946688936582845e-137	5.0799073615071964e-114	25.109999999999999	24.192307692307693	23.605504587155963	26.901785714285715	21.993133019194875	26.801649247142681	24.63421144200165	38.236799734733054	7.4000000000000004	6.2999999999999998	6.0999999999999996	6.0999999999999996	12.030927835051546	27.367346938775512	37.270833333333336	18.217391304347824	14.380294082598198	31.183259426677484	33.071097390907504	20.922818529626749	0.96999999999999997	0.47115384615384615	0.44036697247706424	0.6160714285714286	5.2000000000000002	4.4000000000000004	4.0	4.4000000000000004	82.650000000000006	84.680000000000007	85.689999999999998	84.680000000000007	105.40969048104618	89.603289866579942	94.035424616509871	94.966632800442994	230.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	-0.0053924023465445701	-0.0055172413793103444	-0.0036624876743203269	-0.0071746098947623078
1492: Conquest of Paradise	0	0.0	3.0360727505754498e-22	1.5455855082126196e-75	2.6467657354377006e-107	9.3508358225686815e-85	1.0	0.0	7.9589823149091889e-257	1.7690244768004216e-298	4.3122620751809934e-200	9.3508358225686815e-85	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-1.6100994467613874e-297	-4.4712965250002583e-311	0.0	0.0	0.0	0.0	0.0	9.3508358225686815e-85	0.0	0.0	4.2925840970546566e-149	1.7350970276101902e-39	8.915835483965342e-180	1.5324393087154539e-55	0.0	0.0	0.0	6.2363209393954945e-283	8.6553858138226517e-05	3.9751947845444425e-05	-9.6727374284933939e-22	6.0742270546045787e-05	2.8431190781001711e-31	6.2354429710002692e-36	5.2781498573029543e-26	1.9418768136463342e-131	5.2960186440278432e-136	3.8880749044596662e-71	0.0	-2.0347693066627888e-228	-3.0360727505754498e-22	2.4970868969661967e-18	-6.9850130944096946e-133	2.2411610466464089e-13	-3.0360727505754498e-22	0.0	0.0	-5.1568389237415155e-304	-1.2270783041358753e-83	2.0567476124003982e-281	-6.9850130944096946e-133	4.6967404611279952e-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0360727505754498e-22	0.0	0.0	6.3647965600930088e-102	0.0	-9.9188740730641941e-145	0.0	-6.9850130944074242e-133	6.364796513125605e-102	0.0	0.0	0.0	0.0	0.0	17.119469026548671	19.940092165898619	18.884848484848487	17.134969325153374	13.432850753435954	12.672082090470946	12.696650028520914	12.926178002789349	6.9000000000000004	6.0	6.2999999999999998	6.2999999999999998	11.611111111111111	9.2193548387096769	9.7087378640776691	10.593103448275862	11.051861256230579	9.6354660517994564	7.5281105147026119	11.014408464229238	1.0353982300884956	0.7142857142857143	0.62424242424242427	0.88957055214723924	5.5999999999999996	4.4000000000000004	4.4000000000000004	4.4000000000000004	70.799999999999997	79.260000000000005	79.260000000000005	79.260000000000005	95.866687048672475	89.035868618874133	88.974819539835906	92.243870118454922	157.0	0.021367521367521368	0.0064516129032258064	0.0	0.026845637583892617	0.021367521367521368	0.01935483870967742	0.0	0.013422818791946308	-0.0023099060890639199	-0.0043230243281920811	-0.0057906367654280569	-0.0025359897952985481
15 Minutes	0	1.0	2.0713599056875213e-17	1.3061196274582504e-25	-5.8154214937237156e-100	5.5121667596001573e-22	0.0	0.0	1.0587743733804931e-174	1.3061196274582504e-25	1.5326257149582634e-180	4.126559398061797e-199	0.0	1.0	1.0	0.0	0.0	5.7890195761854109e-38	5.3364316704028928e-121	0.0	-3.2006134107529256e-288	0.0	0.0	1.9153954919572235e-213	0.0	4.2472556892779897e-229	0.0	0.0	0.0	2.5439421497729501e-29	3.1283546038560786e-71	1.2956850350505465e-26	1.72922412913962e-30	5.41705274171378e-238	5.4151264266093181e-129	5.6775540853106881e-251	0.0	-5.5895835004722965e-21	-3.6140277080527572e-13	-6.5255869834877851e-78	5.600985773496135e-05	0.0	0.0	5.8154214937237156e-100	0.0	0.0	0.0	0.0	0.0	-2.0713599056875213e-17	1.3061196274582504e-25	-4.6974605687878792e-09	-5.5121667596011259e-22	-2.0713599056875213e-17	3.7020753864742729e-240	1.314515997981679e-318	-5.5121667596001573e-22	-1.0404858985049934e-146	1.3061196274582504e-25	-4.6974605687878792e-09	3.0431263400628106e-166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0713599056875213e-17	1.3061196274582504e-25	1.8656436304089272e-216	5.5121667596001573e-22	0.0	1.370689241368614e-192	1.3061196274582504e-25	-5.8154214937237156e-100	9.231863856109365e-86	0.0	0.0	0.0	6.829428289412165e-108	0.0	23.918918918918919	20.0	23.436708860759495	20.326923076923077	20.350591613303134	18.243683838523403	22.097434854369091	18.239560927835861	5.0999999999999996	4.9000000000000004	4.0	4.7000000000000002	9.7907949790794984	10.771331058020477	11.410071942446043	11.80952380952381	12.689326016991517	10.582953512806483	16.224731521491027	12.393619893273996	2.1531531531531534	2.3439999999999999	1.759493670886076	1.3461538461538463	4.4000000000000004	2.8999999999999999	2.5	4.0999999999999996	79.260000000000005	88.739999999999995	89.75	80.280000000000001	92.573530683450954	88.112928316507279	83.368150291183341	86.020187124717225	75.0	0.0041666666666666666	0.023890784982935155	0.017985611510791366	0.0	0.0083333333333333332	0.0	0.0	0.0	-0.0012143290831815423	-0.0020033478167960682	-0.0017992148880488514	-0.0030525372465553939
2001: A Space Odyssey	1	0.0	7.9714908454353378e-13	7.7319542488012938e-179	-2.9022424890684323e-17	9.370463524925407e-36	0.0	0.0	3.7334112356703084e-209	4.1327127359598664e-190	1.4715712964395484e-235	9.3680611499670877e-36	0.0	0.0	0.0	0.0	0.0	-1.0397203338789114e-309	-1.0216925851162711e-272	-1.0358790331682503e-258	-1.4572740331199297e-155	0.0	0.0	9.2289168856624771e-251	0.0	0.0	0.0	0.0	1.0	6.1844790330325912e-186	9.3847290419961092e-64	4.2188890505248228e-166	5.3379840840004594e-63	0.0	0.0	2.9872897317722832e-232	1.5403835191479969e-140	-5.1583517260812068e-08	-6.0658822017080277e-08	2.4266543716178505e-07	0.00012822156054336317	5.2482458604439738e-158	7.7319542488012938e-179	4.2188890505248228e-166	2.4023749583195507e-39	-7.3568226467342048e-263	0.0	0.0	0.0	-7.9714908454353378e-13	-2.3859308637028153e-36	-2.8993845447168135e-17	9.3680611499670877e-36	0.0	2.548101974517562e-293	0.0	1.3001924128198171e-311	8.9074873494582622e-130	-1.5213588233759946e-83	-2.9008135168926229e-17	9.3680611499670877e-36	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.2128396310995469e-228	0.0	0.0	8.9074874260381872e-130	3.2939654083130751e-238	2.874784372662406e-63	9.3680611499670904e-36	0.0	-7.6579921898584553e-138	1.5213588233759946e-83	-2.9008135168926229e-17	9.3680611499670877e-36	0.0	0.0	3.6298569714593859e-119	1.445861810193806e-106	1.1542810880721723e-77	29.075757575757574	6.0566037735849054	5.5102040816326534	14.087912087912088	26.356133554473242	10.876519792896476	9.0263162847662493	13.015331915529174	10.1	17.800000000000001	19.300000000000001	11.199999999999999	27.647058823529413	8.5967450271247738	6.3715846994535523	10.786259541984732	34.373281649407303	12.123615421481025	8.0662327392334614	16.185002780864991	0.25757575757575757	2.608490566037736	3.7346938775510203	1.4395604395604396	8.3000000000000007	5.5999999999999996	6.4000000000000004	6.4000000000000004	69.109999999999999	92.459999999999994	85.019999999999996	79.599999999999994	101.35626421178171	110.28094118199601	92.729889545758013	100.6536697860103	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0029091330551692164	-0.011647758563718471	-0.0090517241379310352	-0.0028689575586613668
2012	0	1.0	5.5141990625861594e-05	7.6088251062415591e-70	1.9846612579551295e-65	0.00014143160207083407	1.0	0.0	2.5309003702119793e-263	2.1704498243558617e-271	7.0684319215209061e-113	1.2050930412363245e-52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.028332905344095e-220	-6.1820059969073729e-289	0.0	0.0	0.0	0.0	7.0684319215209061e-113	0.0	0.0	0.0	2.3265361431307947e-192	4.8547692378187746e-56	1.0664362884575778e-151	9.878784732636054e-18	0.0	0.0	0.0	0.0	-1.6766689441315733e-13	1.2034601784915316e-26	4.8586143231950245e-05	-5.2387195437168991e-13	5.5141990625861594e-05	7.6088251062407227e-70	1.4660684812141619e-43	1.4491401507939889e-185	-1.4530761205781581e-294	0.0	-1.7794379418417353e-272	1.3860727091011968e-91	5.5141990625861594e-05	2.5142690567628898e-22	-1.9285407229184299e-69	-2.4397596948440796e-35	-1.4815986092046565e-315	0.0	-2.2119030742454392e-82	0.0	5.5141990625861594e-05	2.1087988454101075e-212	-2.2119030742454392e-82	1.4491401507939889e-185	5.5141990625861594e-05	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.5141990625861594e-05	2.1087988454101075e-212	2.2119030742454392e-82	0.0	0.0	2.1509958084295851e-209	-2.5382199645516497e-238	-2.8873341360239463e-173	4.2180556987535259e-208	0.0	0.0	6.9683395398367007e-165	0.0	0.0	12.468253968253968	12.701754385964913	12.826714801444043	12.989583333333334	8.462040832246748	7.7381826423482938	8.0372962546323237	7.6073266835882194	6.0	5.7000000000000002	5.9000000000000004	5.7000000000000002	10.842105263157896	9.2813852813852815	9.1938325991189433	8.8470588235294123	8.136199439348502	7.3944843012204355	6.8635124661399143	7.6719594588159987	0.98015873015873012	0.81052631578947365	0.81949458483754511	0.59027777777777779	4.4000000000000004	4.4000000000000004	4.4000000000000004	4.7999999999999998	79.260000000000005	79.260000000000005	79.260000000000005	78.25	95.957321934205297	93.955303513839382	95.790125902872305	94.03177421472229	264.0	0.10441767068273092	0.064377682403433473	0.065789473684210523	0.10000000000000001	0.0	0.0	0.0	0.0	-0.0040736145574855253	-0.003207429747714108	-0.0028848022543970461	-0.0035769847256270034
30 Minutes or Less	0	1.0	7.8886090522101204e-41	1.993705821861138e-44	-0.00015086369465188202	1.5769118576021498e-21	0.0	0.0	6.525304467998525e-73	1.2435187321145481e-142	9.0122121049735461e-181	0.0	1.0	1.0	0.0	0.0	0.0	-6.5087970428153533e-252	-6.2689699025501064e-182	-2.1889501609520161e-275	-8.9278342107133807e-303	0.0	0.0	5.5282273963298311e-101	1.3936716831070155e-167	4.8863678331891344e-223	0.0	0.0	0.0	2.7939677238464356e-12	4.1051670576272312e-20	5.5264941803624765e-25	7.459952948671692e-42	5.2994698273779829e-225	0.0	3.3949967807234117e-252	5.3424521336113988e-279	-9.7656250000000005e-05	0.00010647359454855196	-3.2375685666951976e-17	6.9113276660446465e-05	0.0	0.0	0.0	7.3445884857924001e-134	0.0	0.0	-4.2920446488678238e-13	0.0	1.0795210693868058e-104	-2.2673252672178869e-08	-0.00015086369508108649	-6.6025917784941364e-13	4.9468022550521358e-305	-7.4428851084164489e-128	0.0	-1.5769118500698013e-21	4.1585699769558004e-149	-2.2673252672178869e-08	-0.00015086369465188202	-6.6025917627239289e-13	0.0	0.0	0.0	1.0898554496301067e-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8725919148493196e-161	3.1499625124788229e-219	0.00015086369465188202	1.5769118500698013e-21	0.0	3.606632272572554e-173	-6.1661710341209419e-116	0.0	-7.3445884857924001e-134	0.0	0.0	0.0	8.6869754256560616e-104	0.0	14.359375	13.099236641221374	16.013157894736842	16.46875	10.366513377668261	9.4107742068869431	9.7643193379243787	10.515418367212025	4.7000000000000002	4.2999999999999998	5.0	4.7999999999999998	17.177272727272726	13.792307692307693	13.714912280701755	11.844660194174757	24.590471765561809	13.347253335335818	16.304728258661552	12.888813002471847	1.71875	1.9847328244274809	1.5	1.2875000000000001	2.8999999999999999	1.7	2.5	3.2999999999999998	88.739999999999995	97.200000000000003	95.170000000000002	87.719999999999999	99.530889653116603	78.186335760903106	90.629928689970981	89.067678392649739	115.0	0.012500000000000001	0.0038167938931297708	0.053278688524590161	0.059360730593607303	0.0	0.0	0.0	0.0	-0.0071166992187499997	-0.0036067930153321978	-0.004959643961680622	-0.0044923629829290209
44 Inch Chest	0	0.0	1.5637657848925537e-26	2.5990172372652963e-113	1.9393771236277482e-17	-8.6515370970320412e-57	0.0	0.0	9.0283610361245036e-70	1.6345596824064527e-132	1.5719818381148988e-212	2.2924215293245021e-104	0.0	1.0	1.0	0.0	0.0	-2.0339101579263239e-99	6.8046002549888967e-33	-4.970897093712469e-300	-1.112300370647795e-163	0.0	0.0	0.0	0.0	1.9268560187808615e-322	7.1814674849108856e-129	0.0	0.0	1.4768129637273916e-18	2.1439293434363636e-129	1.820651861632437e-88	9.1108723537344372e-37	0.0	3.9749804268431989e-169	1.328868072611036e-271	0.0	4.2355147829842938e-08	-5.7229217296506031e-105	-1.2869124851274378e-21	1.5764610030931425e-92	3.9606342127025162e-137	0.0	3.2123136244229579e-59	8.6515370970320412e-57	-1.5637657848925537e-26	4.8585302052463548e-61	0.0	0.0	-1.5637657848925537e-26	-7.861431520007673e-21	2.9222534498822899e-13	-8.6515370970320412e-57	3.4524232883092954e-148	5.8468143085001273e-238	-1.9393771236277482e-17	6.8634269944000821e-216	-7.5983379487929184e-23	-5.3493898925621953e-53	-7.0618611410804402e-105	-8.6515370970320412e-57	0.0	0.0	1.8787231588751649e-205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3764041812746071e-48	2.1439293434363636e-129	1.9393771236277482e-17	1.5928561975253112e-88	0.0	-3.4524232883092954e-148	-7.861431520007673e-21	-7.0618611410804402e-105	-8.6515370970320412e-57	0.0	0.0	0.0	0.0	0.0	30.074074074074073	13.419354838709678	14.349693251533742	16.53846153846154	44.630935896051696	17.552270680324522	18.713380188127815	29.378285953152957	6.5999999999999996	4.2000000000000002	5.5	5.4000000000000004	14.814814814814815	14.150684931506849	16.701694915254237	16.908653846153847	16.994633220491689	23.651776208050613	38.955678820699553	37.716762266665704	1.0	1.7661290322580645	1.8098159509202454	2.2857142857142856	4.7999999999999998	1.3	2.5	2.1000000000000001	78.25	98.209999999999994	89.75	90.769999999999996	104.75847861049247	109.67057068058655	104.79759353991862	104.66098593031052	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046296296296296294	-0.00054023461617616793	-0.0059682645573239301	-0.0050102860176521333	-0.0038351148060174188
48 Hrs.	1	1.0	2.7088652034721748e-131	1.38386544552931e-77	2.2062836389856831e-141	4.4460149489533075e-44	0.0	0.0	1.3005398792722352e-251	3.3016188729086544e-145	1.0266428442748495e-186	1.8515158350978142e-152	1.0	1.0	0.0	0.0	0.0	9.6500185057709174e-227	-9.2434006173310886e-214	-1.3267944532119836e-273	0.0	0.0	0.0	0.0	1.1237836086942421e-85	0.0	0.0	0.0	0.0	1.7329973518858382e-22	1.0710172838818222e-24	1.5878557752452137e-21	1.7074200179394891e-105	0.0	0.0	0.0	0.0	3.5174660391873516e-105	1.8910831432879125e-65	-4.7898776244224481e-09	5.9517429113700373e-08	6.095759367373435e-127	0.0	0.0	0.0	0.0	2.8384292622750458e-255	7.7490044259605375e-238	-8.7820304904921944e-131	-2.3720129027107894e-56	1.1237836086942421e-85	-5.2637792947171234e-34	-1.4519988449871857e-11	2.8616275503592649e-279	7.4107190536435474e-102	-4.0789049052042419e-271	0.0	2.7088652034721748e-131	7.412722492154942e-102	2.2062836389856831e-141	-8.6419233186249057e-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1121813068077198e-214	0.0	2.7088652034721748e-131	7.412722492154942e-102	2.2063090883718968e-141	1.0843938899886039e-47	0.0	3.5174660600260367e-105	1.725766938208557e-158	-1.4777503467111684e-320	-3.0486374965507967e-112	0.0	4.6944562242329708e-153	0.0	3.0448688864349419e-92	0.0	11.72754491017964	9.7474747474747474	9.7743190661478607	11.634920634920634	13.764073536560293	10.783304935884518	12.04222637123293	10.944740836485266	5.2000000000000002	5.0999999999999996	5.0	5.0999999999999996	10.822784810126583	13.013824884792626	9.6463878326996202	11.020408163265307	10.148466858920351	11.118332626491158	9.4108007822338795	7.1156332513766216	1.1826347305389222	1.095959595959596	1.0233463035019454	0.77777777777777779	4.0999999999999996	2.8999999999999999	2.5	3.2999999999999998	80.280000000000001	88.739999999999995	89.75	87.719999999999999	91.294421935872705	77.019646220868609	90.722603809701411	83.541565349489119	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0015109096564902458	-0.0025119401640082907	-0.0042130943317876673	-0.0046047816540619665
8MM	0	0.0	-2.7319794370778854e-66	-3.9951702773682484e-137	3.8222336606206016e-32	1.3997181910921155e-18	0.0	0.0	4.950788999115238e-75	3.9951702773682484e-137	1.284570679187241e-322	4.7498417367301466e-232	0.0	0.0	0.0	0.0	0.0	2.3259796875643213e-70	0.0	0.0	0.0	0.0	0.0	0.0	-6.3405889775827502e-190	0.0	6.3116013113861476e-282	0.0	1.0	4.4416652530614853e-158	2.3819530363566218e-74	2.6220450723703479e-45	4.814495205490027e-23	0.0	0.0	0.0	0.0	4.2569494700097908e-05	7.9630514476240427e-05	3.3431793322754208e-18	3.4396175145323843e-05	1.0433915845966735e-153	1.5906873217742667e-141	0.0	0.0	-3.5066010175827315e-127	-1.0005703472852002e-22	0.0	0.0	4.950788999115238e-75	-1.0005703472852002e-22	-3.8222336565856684e-32	4.0692607251429981e-14	0.0	0.0	0.0	-1.3997181910921155e-18	2.7319794469794619e-66	-1.0005703472852002e-22	2.1874831287299467e-264	1.3428141201294726e-173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7319794469794619e-66	1.0034269668638093e-132	2.1874831287299467e-264	1.3997181910921155e-18	1.0	4.950788999115238e-75	4.0134357842678192e-313	1.4609470156381167e-63	-3.2215015456515619e-246	0.0	1.3705702526028071e-170	0.0	0.0	4.2836571399439688e-139	18.100917431192659	21.068627450980394	15.716012084592146	16.874149659863946	13.945138217036966	12.579363589315147	8.8885861731185152	9.5881771616780398	6.7999999999999998	6.4000000000000004	6.2999999999999998	6.5999999999999996	15.334975369458128	14.651612903225807	9.3653250773993815	12.807339449541285	19.104228205929203	26.886762193866172	9.1831875660171978	16.416861473128577	0.93119266055045868	0.75980392156862742	0.97583081570996977	0.37074829931972791	4.7999999999999998	4.7999999999999998	4.4000000000000004	3.7000000000000002	78.25	78.25	79.260000000000005	86.709999999999994	93.586395640433409	95.878298532979173	89.041007950050641	81.16800143538876	293.0	0.0	0.0	0.0061919504643962852	0.0091743119266055051	0.0	0.12258064516129032	0.17337461300309598	0.064220183486238536	0.00042037376016346688	0.0019907628603280775	0.0026317499512638898	0.0013844460495992846
